index,name,games,receptions,yards,yds_per_ctch,yds_per_game,yac,td,long_ctch,recs_ovr_25,100yd_gms,targets,drops,ctch_pct,fumbles,fumbles_lost,first_down_ctchs,first_down_ctchpct,season,team
137.0,"Vincent Brisby",12,18,266,14.8,22.2,70,0,40,2,0,34,3,52.9%,0,0,13,72.2%,1999.0,NE
138.0,"Lamont Warren",16,29,262,9.0,16.4,195,1,21,0,0,48,2,60.4%,0,0,15,51.7%,1999.0,NE
139.0,"Terry Mickens",16,20,261,13.1,16.3,52,0,30,1,0,40,5,50.0%,1,1,13,65.0%,1999.0,OAK
140.0,"Isaac Byrd",12,14,261,18.6,21.8,128,2,65,2,0,26,0,53.8%,1,1,8,57.1%,1999.0,TEN
141.0,"Curtis Martin",16,45,259,5.8,16.2,322,0,34,1,0,60,4,75.0%,1,0,9,20.0%,1999.0,NYJ
142.0,"Chris Penn",16,17,257,15.1,16.1,41,1,43,2,0,38,2,44.7%,1,1,14,82.4%,1999.0,SD
144.0,"Richard Huntley",16,27,253,9.4,15.8,282,3,25,1,0,39,2,69.2%,0,0,14,51.9%,1999.0,PIT
145.0,"Rob Konrad",15,34,251,7.4,16.7,202,1,25,1,0,66,7,51.5%,3,1,13,38.2%,1999.0,MIA
146.0,"Mike Alstott",16,27,239,8.9,14.9,223,2,24,0,0,34,1,79.4%,0,0,11,40.7%,1999.0,TB
147.0,"Bert Emanuel",11,22,238,10.8,21.6,38,1,39,1,0,52,2,42.3%,0,0,10,45.5%,1999.0,TB
148.0,"Chuck Evans",16,32,235,7.3,14.7,251,1,27,1,0,48,2,66.7%,0,0,12,37.5%,1999.0,BAL
149.0,"Yatil Green",9,18,234,13.0,26.0,34,0,27,2,0,40,3,45.0%,0,0,16,88.9%,1999.0,MIA
150.0,"Sedrick Irvin",14,25,233,9.3,16.6,226,0,31,1,0,32,2,78.1%,0,0,10,40.0%,1999.0,DET
151.0,"Reggie Brown",16,34,228,6.7,14.3,157,1,26,1,0,47,5,72.3%,0,0,10,29.4%,1999.0,SEA
