name,pca_1,pca_2,pca_5,pca_8,pca_13,pca_16,pca_18,pca_19,pca_21,pca_26,targets_2,receptions_2,rec_yards_2,rec_tds_2,rec_ypg_2,100yd_gms_2,first_down_ctchs_2,long_ctch_2,drops_2,DYAR_2,start_ratio_2,pct_team_tgts_2,pct_team_receptions_2,pct_of_team_passyards_2,pct_team_touchdowns_2,dropK_2,yacK_2,td_points_2,compilation_2,avg_starts,categories
Reidel Anthony,-1.12670412892,-1.72652172746,-1.71965584814,0.98566469096,0.410862614112,1.07118802713,-0.119712697949,-0.331868599783,0.492977767903,-1.09451029767,34.0,13.0,162.0,0.0,12.5,0.0,8.0,35.0,4.0,-0.33,0.307692307692,0.0541401273885,0.0338541666667,0.0460488914156,0.0,1.60943791243,4.83950617284,0.0,0.791255786469,0.302884615385,below average
Ricky Proehl,0.15650237149,-4.14171559509,-3.37256619502,-1.34543101993,-0.147947695295,2.0402406281,-0.126544587977,0.673237426148,-0.223068104671,-0.210151734513,55.0,40.0,563.0,5.0,35.2,1.0,31.0,37.0,2.0,2.73,0.125,0.0835866261398,0.089485458613,0.104047311033,0.121951219512,1.09861228867,63.4476021314,0.26771987925,15.5246694102,0.197222222222,league_average
Riley Cooper,-2.79454750318,2.6771584349,-2.99451761658,-3.02714341959,-0.0799404415663,0.551396151024,0.28629328573,-0.204024879378,-0.276678911991,2.35157861348,47.0,23.0,248.0,3.0,22.5,0.0,14.0,23.0,2.0,-0.38,0.454545454545,0.0760517799353,0.0626702997275,0.0654180954893,0.166666666667,1.09861228867,31.2258064516,0.219530300986,3.52085514324,0.265297202797,quality starter
Rishard Matthews,-2.04004832116,2.607730621,-0.216963076901,-1.29977226854,-0.0850576052661,-0.438327501332,0.951207926564,1.2027040542,-0.190415546578,0.736901193512,22.0,12.0,135.0,2.0,9.6,0.0,9.0,23.0,2.0,-0.03,0.0,0.036974789916,0.0304568527919,0.0362027353178,0.0740740740741,1.09861228867,15.6740740741,0.0650460151068,1.33713219832,0.145833333333,league_average
Robert Meachem,2.43190764177,5.8570911015,-6.75336557122,-12.1021148176,-0.163080542236,1.77170664927,0.183862807574,0.272677094805,0.279663060978,-0.243657214113,66.0,44.0,638.0,5.0,39.9,2.0,27.0,55.0,5.0,1.9,0.4375,0.0915395284327,0.0899795501022,0.131872674659,0.142857142857,1.79175946923,27.7257053292,0.313614715693,13.0435202262,0.363095238095,league_average
Rocket Ismail,3.29689808241,-5.01575077715,-2.42159504977,-3.24130008117,-0.331527749534,1.4392340801,1.51212478764,-0.397372122303,-2.77594709475,0.557678536749,93.0,53.0,834.0,2.0,59.6,0.0,0.0,0.0,0.0,0.87,0.928571428571,0.225181598063,0.252380952381,0.376014427412,0.142857142857,0.0,0.0,0.125445886277,0.0,0.934523809524,below average
Rod Gardner,8.27037829141,-0.381358292697,0.41965570599,-1.06128298035,0.646682165026,0.57462208219,-1.20910899989,-1.26444742125,0.360889037468,-0.467623141968,115.0,59.0,600.0,5.0,37.5,1.0,30.0,35.0,8.0,-0.92,1.0,0.218216318786,0.208480565371,0.199600798403,0.238095238095,2.19722457734,52.8066666667,0.522691192822,18.4999922526,0.979166666667,league_average
Rod Smith,14.6687603386,-1.3265966962,3.09082435319,-2.43091710883,0.835585061319,-1.04118388775,0.38519484513,0.284767945832,1.61066959308,1.32581507555,172.0,113.0,1343.0,11.0,89.5,5.0,75.0,65.0,9.0,3.61,0.933333333333,0.336594911937,0.362179487179,0.456802721088,0.423076923077,2.30258509299,304.03648548,2.04332049379,141.282609988,0.977777777778,quality starter
Rod Streater,4.49006405745,2.27115281762,-0.894905015762,-2.3735979222,0.43016989464,-0.109433488268,-0.657962647189,0.417121038457,0.750062259472,-0.241904432457,13.0,9.0,84.0,1.0,28.0,0.0,5.0,17.0,1.0,0.15,1.0,0.0206677265501,0.0246575342466,0.0256488549618,0.0454545454545,0.69314718056,10.0119047619,0.0199573000896,0.463564063406,0.666666666667,below average
Ron Dixon,-2.99026084805,-0.843710781885,-2.58367859683,1.47038770027,0.17905272693,-1.11804761418,-0.584733044624,-0.298808296094,0.582030429072,-0.00620818314817,36.0,22.0,377.0,2.0,37.7,1.0,19.0,33.0,1.0,1.15,0.3,0.0607082630691,0.0599455040872,0.0881252921926,0.0869565217391,0.69314718056,33.8700265252,0.0763583655601,6.81830978595,0.1,below average
